id,nome,metodo,estado,detalhe,novo_url
1,Câmara Municipal de Albufeira,scrape,ok,site responde (231901 bytes),
2,Câmara Municipal de Alcoutim,scrape,ok,site responde (99652 bytes),
3,Câmara Municipal de Aljezur,scrape,ok,site responde (156683 bytes),
4,Câmara Municipal de Castro Marim,scrape,ok,site responde (124306 bytes),
5,Câmara Municipal de Faro,scrape,ok,site responde (131818 bytes),
6,Câmara Municipal de Lagoa,scrape,ok,site responde (110914 bytes),
7,Câmara Municipal de Lagos,scrape,ok,site responde (233110 bytes),
8,Câmara Municipal de Loulé,scrape,ok,site responde (243915 bytes),
9,Câmara Municipal de Monchique,scrape,ok,site responde (112098 bytes),
10,Câmara Municipal de Olhão,scrape,ok,site responde (94497 bytes),
11,Câmara Municipal de Portimão,scrape,ok,site responde (109231 bytes),
12,Câmara Municipal de São Brás de Alportel,scrape,ok,site responde (115144 bytes),
13,Câmara Municipal de Silves,scrape,ok,site responde (93439 bytes),
14,Câmara Municipal de Tavira,scrape,ok,site responde (400000 bytes),
15,Câmara Municipal de Vila do Bispo,scrape,ok,site responde (66760 bytes),
16,Câmara Municipal de Vila Real de Santo António,scrape,ok,site responde (147399 bytes),
17,CCDR Algarve,scrape,ok,site responde (107186 bytes),
18,AMAL - Comunidade Intermunicipal do Algarve,scrape,ok,site responde (354321 bytes),
19,Turismo do Algarve (RTA),scrape,ok,site responde (72209 bytes),
20,Universidade do Algarve,scrape,ok,site responde (258933 bytes),
21,CRIA - Divisão de Empreendedorismo e Transferência de Tecnologia (UAlg),scrape,falha,"<urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connecti",
22,DRAP Algarve,scrape,ok,site responde (70197 bytes),
23,Algarve Evolution,manual,ignorado,,
24,Algarve Tech Hub,scrape,ok,site responde (103462 bytes),
25,Algarve STP - Science and Technology Park,scrape,ok,site responde (114191 bytes),
26,NERA - Associação Empresarial da Região do Algarve,rss,ok,10 itens em https://www.nera.pt/feed,
27,ACRAL - Associação do Comércio e Serviços da Região do Algarve,scrape,ok,site responde (76160 bytes),
28,AHETA - Associação dos Hotéis e Empreendimentos Turísticos do Algarve,scrape,ok,site responde (249793 bytes),
29,AIHSA - Associação dos Industriais Hoteleiros e Similares do Algarve,manual,ignorado,,
30,ANJE - Núcleo do Algarve,scrape,ok,site responde (246337 bytes),
31,Centro de Incubação e Aceleração de Faro (ANJE),manual,ignorado,,
32,ABC - Algarve Biomedical Center,rss,ok,10 itens em https://algarvebiomedicalcenter.pt/feed,
33,Startup Portimão,manual,ignorado,,
34,Incubadoras municipais (levantamento),manual,ignorado,,
